2
2.500000e-01 5.300000e-01 1.000000e-01
1 9.000000e-01 0
5.300000e-01 2.500000e-01 1.000000e-01
0.9 1 0
-150 -150 -150 30 0
-150 0 -150 30 0
-150 150 -150 30 0
0 -150 -150 30 0
0 0 -150 30 0
0 150 -150 30 0
150 -150 -150 30 0
150 0 -150 30 0
150 150 -150 30 0
-150 -150 0 30 0
-150 0 0 30 0
-150 150 0 30 0
0 -150 0 30 0
0 0 0 30 1
0 150 0 30 1
150 -150 0 30 0
150 0 0 30 0
150 150 0 30 0
-150 -150 150 30 0
-150 0 150 30 0
-150 150 150 30 0
0 -150 150 30 0
0 0 150 30 1
0 150 150 30 0
150 -150 150 30 0
150 0 150 30 0
150 150 150 30 0
